filename,left_sensor,top_sensor,right_sensor,position,left_name,veggie,meat,left_total,top_total,right_total
2020_03_04-red_curry_pork-1.jpg,3,1,0,left,red_curry_pork,6,0,6,0,0
2020_03_04-red_curry_pork-2.jpg,2,0,2,left,red_curry_pork,6,0,6,0,0
2020_03_04-red_curry_pork-3.jpg,4,0,0,left,red_curry_pork,6,0,6,0,0
2020_03_04-red_curry_pork-4.jpg,5,0,0,left,red_curry_pork,6,0,6,0,0
2020_03_04-red_curry_pork-5.jpg,6,0,0,left,red_curry_pork,6,0,6,0,0
2020_03_04-red_curry_pork-6.jpg,4,0,0,left,red_curry_pork,6,0,6,0,0
2020_03_04-red_curry_pork-7.jpg,5,0,0,left,red_curry_pork,6,0,6,0,0
2020_03_04-red_curry_pork-8.jpg,5,0,0,left,red_curry_pork,6,0,6,0,0
2020_03_04-red_curry_pork-9.jpg,5,0,0,left,red_curry_pork,6,0,6,0,0
2020_03_04-red_curry_pork-10.jpg,6,0,0,left,red_curry_pork,6,0,6,0,0
2020_03_04-red_curry_pork-11.jpg,9,0,0,left,red_curry_pork,11,0,11,0,0
2020_03_04-red_curry_pork-12.jpg,9,0,0,left,red_curry_pork,11,0,11,0,0
2020_03_04-red_curry_pork-13.jpg,12,0,0,left,red_curry_pork,11,0,11,0,0
2020_03_04-red_curry_pork-14.jpg,10,0,1,left,red_curry_pork,11,0,11,0,0
2020_03_04-red_curry_pork-15.jpg,9,0,0,left,red_curry_pork,11,0,11,0,0
2020_03_04-red_curry_pork-16.jpg,8,0,0,left,red_curry_pork,11,0,11,0,0
2020_03_04-red_curry_pork-17.jpg,9,0,0,left,red_curry_pork,11,0,11,0,0
2020_03_04-red_curry_pork-18.jpg,10,0,0,left,red_curry_pork,11,0,11,0,0
2020_03_04-red_curry_pork-19.jpg,11,0,0,left,red_curry_pork,11,0,11,0,0
2020_03_04-red_curry_pork-20.jpg,10,0,0,left,red_curry_pork,11,0,11,0,0
2020_03_04-red_curry_pork-21.jpg,16,0,0,left,red_curry_pork,16,0,16,0,0
