filename,left_sensor,top_sensor,right_sensor,position,left_name,liquid,tofu,meat,left_total,top_total,right_total
2020_03_11-egg_tofu_soup-1.jpg,21,99,0,left,egg_tofu_soup,0,0,11,11,91,0
2020_03_11-egg_tofu_soup-2.jpg,24,97,0,left,egg_tofu_soup,0,0,11,11,91,0
2020_03_11-egg_tofu_soup-3.jpg,22,99,0,left,egg_tofu_soup,0,0,11,11,91,0
2020_03_11-egg_tofu_soup-4.jpg,24,97,0,left,egg_tofu_soup,0,0,11,11,91,0
2020_03_11-egg_tofu_soup-5.jpg,23,97,0,left,egg_tofu_soup,0,0,11,11,91,0
2020_03_11-egg_tofu_soup-6.jpg,23,98,0,left,egg_tofu_soup,0,0,11,11,91,0
2020_03_11-egg_tofu_soup-7.jpg,25,96,0,left,egg_tofu_soup,0,0,11,11,91,0
2020_03_11-egg_tofu_soup-8.jpg,24,97,0,left,egg_tofu_soup,0,0,11,11,91,0
2020_03_11-egg_tofu_soup-9.jpg,25,97,0,left,egg_tofu_soup,0,0,11,11,91,0
2020_03_11-egg_tofu_soup-10.jpg,25,98,0,left,egg_tofu_soup,0,0,11,11,91,0
2020_03_11-egg_tofu_soup-11.jpg,38,98,0,left,egg_tofu_soup,19,0,11,30,91,0
2020_03_11-egg_tofu_soup-12.jpg,41,95,0,left,egg_tofu_soup,19,0,11,30,91,0
2020_03_11-egg_tofu_soup-13.jpg,40,94,0,left,egg_tofu_soup,19,0,11,30,91,0
2020_03_11-egg_tofu_soup-14.jpg,40,98,0,left,egg_tofu_soup,19,0,11,30,91,0
2020_03_11-egg_tofu_soup-15.jpg,41,97,0,left,egg_tofu_soup,19,0,11,30,91,0
2020_03_11-egg_tofu_soup-16.jpg,41,94,0,left,egg_tofu_soup,19,0,11,30,91,0
2020_03_11-egg_tofu_soup-17.jpg,41,98,0,left,egg_tofu_soup,19,0,11,30,91,0
2020_03_11-egg_tofu_soup-18.jpg,40,96,0,left,egg_tofu_soup,19,0,11,30,91,0
2020_03_11-egg_tofu_soup-19.jpg,40,97,0,left,egg_tofu_soup,19,0,11,30,91,0
2020_03_11-egg_tofu_soup-20.jpg,40,98,0,left,egg_tofu_soup,19,0,11,30,91,0
2020_03_11-egg_tofu_soup-21.jpg,55,96,0,left,egg_tofu_soup,19,18,11,48,91,0
2020_03_11-egg_tofu_soup-22.jpg,56,97,0,left,egg_tofu_soup,19,18,11,48,91,0
2020_03_11-egg_tofu_soup-23.jpg,55,92,0,left,egg_tofu_soup,19,18,11,48,91,0
2020_03_11-egg_tofu_soup-24.jpg,52,101,0,left,egg_tofu_soup,19,18,11,48,91,0
2020_03_11-egg_tofu_soup-25.jpg,54,94,0,left,egg_tofu_soup,19,18,11,48,91,0
2020_03_11-egg_tofu_soup-26.jpg,55,92,0,left,egg_tofu_soup,19,18,11,48,91,0
2020_03_11-egg_tofu_soup-27.jpg,54,95,0,left,egg_tofu_soup,19,18,11,48,91,0
2020_03_11-egg_tofu_soup-28.jpg,54,99,0,left,egg_tofu_soup,19,18,11,48,91,0
