filename,left_sensor,top_sensor,right_sensor,position,left_name,left_liquid,left_veggie,left_meat,left_total,top_total,right_total
2020_03_02-ancient_pork-1.jpg,10,136,0,left,ancient_pork,0,14,0,14,124,0
2020_03_02-ancient_pork-2.jpg,14,132,0,left,ancient_pork,0,14,0,14,124,0
2020_03_02-ancient_pork-3.jpg,9,139,0,left,ancient_pork,0,14,0,14,124,0
2020_03_02-ancient_pork-4.jpg,11,131,0,left,ancient_pork,0,14,0,14,124,0
2020_03_02-ancient_pork-5.jpg,14,133,0,left,ancient_pork,0,14,0,14,124,0
2020_03_02-ancient_pork-6.jpg,13,130,0,left,ancient_pork,0,14,0,14,124,0
2020_03_02-ancient_pork-7.jpg,12,130,0,left,ancient_pork,0,14,0,14,124,0
2020_03_02-ancient_pork-8.jpg,14,131,0,left,ancient_pork,0,14,0,14,124,0
2020_03_02-ancient_pork-9.jpg,13,131,0,left,ancient_pork,0,14,0,14,124,0
2020_03_02-ancient_pork-10.jpg,15,129,0,left,ancient_pork,0,14,0,14,124,0
2020_03_02-ancient_pork-11.jpg,22,128,0,left,ancient_pork,0,20,0,20,124,0
2020_03_02-ancient_pork-12.jpg,21,130,0,left,ancient_pork,0,20,0,20,124,0
2020_03_02-ancient_pork-13.jpg,24,124,0,left,ancient_pork,0,20,0,20,124,0
2020_03_02-ancient_pork-14.jpg,20,132,0,left,ancient_pork,0,20,0,20,124,0
2020_03_02-ancient_pork-15.jpg,23,125,0,left,ancient_pork,0,20,0,20,124,0
2020_03_02-ancient_pork-16.jpg,24,127,0,left,ancient_pork,0,20,0,20,124,0
2020_03_02-ancient_pork-17.jpg,25,124,0,left,ancient_pork,0,20,0,20,124,0
2020_03_02-ancient_pork-18.jpg,20,127,0,left,ancient_pork,0,20,0,20,124,0
2020_03_02-ancient_pork-19.jpg,24,125,0,left,ancient_pork,0,20,0,20,124,0
2020_03_02-ancient_pork-20.jpg,24,127,0,left,ancient_pork,0,20,0,20,124,0
2020_03_02-ancient_pork-21.jpg,29,125,0,left,ancient_pork,0,25,0,25,124,0
2020_03_02-ancient_pork-22.jpg,29,132,0,left,ancient_pork,0,25,0,25,124,0
2020_03_02-ancient_pork-23.jpg,26,132,0,left,ancient_pork,0,25,0,25,124,0
2020_03_02-ancient_pork-24.jpg,27,129,0,left,ancient_pork,0,25,0,25,124,0
2020_03_02-ancient_pork-25.jpg,26,129,0,left,ancient_pork,0,25,0,25,124,0
2020_03_02-ancient_pork-26.jpg,26,132,0,left,ancient_pork,0,25,0,25,124,0
2020_03_02-ancient_pork-27.jpg,26,126,0,left,ancient_pork,0,25,0,25,124,0
2020_03_02-ancient_pork-28.jpg,24,134,0,left,ancient_pork,0,25,0,25,124,0
2020_03_02-ancient_pork-29.jpg,24,126,0,left,ancient_pork,0,25,0,25,124,0
2020_03_02-ancient_pork-30.jpg,30,127,0,left,ancient_pork,0,25,0,25,124,0
2020_03_02-ancient_pork-31.jpg,35,124,0,left,ancient_pork,0,25,6,31,124,0
2020_03_02-ancient_pork-32.jpg,33,132,0,left,ancient_pork,0,25,6,31,124,0
2020_03_02-ancient_pork-33.jpg,31,124,0,left,ancient_pork,0,25,6,31,124,0
2020_03_02-ancient_pork-34.jpg,31,123,0,left,ancient_pork,0,25,6,31,124,0
2020_03_02-ancient_pork-35.jpg,33,126,0,left,ancient_pork,0,25,6,31,124,0
2020_03_02-ancient_pork-36.jpg,29,130,0,left,ancient_pork,0,25,6,31,124,0
2020_03_02-ancient_pork-37.jpg,31,126,0,left,ancient_pork,0,25,6,31,124,0
2020_03_02-ancient_pork-38.jpg,38,124,0,left,ancient_pork,0,25,6,31,124,0
2020_03_02-ancient_pork-39.jpg,33,134,0,left,ancient_pork,0,25,6,31,124,0
2020_03_02-ancient_pork-40.jpg,35,124,0,left,ancient_pork,0,25,6,31,124,0
2020_03_02-ancient_pork-41.jpg,48,123,0,left,ancient_pork,0,25,24,49,124,0
2020_03_02-ancient_pork-42.jpg,48,134,1,left,ancient_pork,0,25,24,49,124,0
2020_03_02-ancient_pork-43.jpg,59,127,1,left,ancient_pork,0,25,24,49,124,0
2020_03_02-ancient_pork-44.jpg,50,129,0,left,ancient_pork,0,25,24,49,124,0
2020_03_02-ancient_pork-45.jpg,55,128,0,left,ancient_pork,0,25,24,49,124,0
2020_03_02-ancient_pork-46.jpg,53,123,4,left,ancient_pork,0,25,24,49,124,0
2020_03_02-ancient_pork-47.jpg,56,129,0,left,ancient_pork,0,25,24,49,124,0
2020_03_02-ancient_pork-48.jpg,47,129,0,left,ancient_pork,0,25,24,49,124,0
2020_03_02-ancient_pork-49.jpg,44,129,1,left,ancient_pork,0,25,24,49,124,0
2020_03_02-ancient_pork-50.jpg,52,130,0,left,ancient_pork,0,25,24,49,124,0
2020_03_02-ancient_pork-51.jpg,66,132,0,left,ancient_pork,16,25,24,65,124,0
2020_03_02-ancient_pork-52.jpg,64,122,10,left,ancient_pork,16,25,24,65,124,0
2020_03_02-ancient_pork-53.jpg,62,129,4,left,ancient_pork,16,25,24,65,124,0
2020_03_02-ancient_pork-54.jpg,71,126,1,left,ancient_pork,16,25,24,65,124,0
2020_03_02-ancient_pork-55.jpg,62,128,0,left,ancient_pork,16,25,24,65,124,0
2020_03_02-ancient_pork-56.jpg,61,119,12,left,ancient_pork,16,25,24,65,124,0
2020_03_02-ancient_pork-57.jpg,63,121,12,left,ancient_pork,16,25,24,65,124,0
2020_03_02-ancient_pork-58.jpg,73,128,0,left,ancient_pork,16,25,24,65,124,0
2020_03_02-ancient_pork-59.jpg,61,130,6,left,ancient_pork,16,25,24,65,124,0
2020_03_02-ancient_pork-60.jpg,67,122,4,left,ancient_pork,16,25,24,65,124,0
2020_03_02-ancient_pork-61.jpg,44,125,0,left,ancient_pork,16,25,4,45,124,0
2020_03_02-ancient_pork-62.jpg,49,121,0,left,ancient_pork,16,25,4,45,124,0
2020_03_02-ancient_pork-63.jpg,44,125,0,left,ancient_pork,16,25,4,45,124,0
