filename,left_sensor,top_sensor,right_sensor,position,left_name,left_total,top_name,top_total,right_name,right_liquid,right_veggie,right_meat,right_total
2020_02_19-green_curry_chicken-1.jpg,67,73,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,8,8
2020_02_19-green_curry_chicken-2.jpg,68,71,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,8,8
2020_02_19-green_curry_chicken-3.jpg,67,73,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,8,8
2020_02_19-green_curry_chicken-4.jpg,69,70,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,8,8
2020_02_19-green_curry_chicken-5.jpg,69,74,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,8,8
2020_02_19-green_curry_chicken-6.jpg,68,71,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,8,8
2020_02_19-green_curry_chicken-7.jpg,68,71,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,8,8
2020_02_19-green_curry_chicken-8.jpg,68,73,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,8,8
2020_02_19-green_curry_chicken-9.jpg,68,70,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,8,8
2020_02_19-green_curry_chicken-10.jpg,68,71,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,14,14
2020_02_19-green_curry_chicken-11.jpg,71,72,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,14,14
2020_02_19-green_curry_chicken-12.jpg,71,71,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,14,14
2020_02_19-green_curry_chicken-13.jpg,69,70,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,14,14
2020_02_19-green_curry_chicken-14.jpg,70,70,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,14,14
2020_02_19-green_curry_chicken-15.jpg,68,72,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,14,14
2020_02_19-green_curry_chicken-16.jpg,70,74,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,14,14
2020_02_19-green_curry_chicken-17.jpg,68,71,0,right,stir_fried_veggie,54,rice,71,green_curry_chicken,0,0,14,14
