filename,left_sensor,top_sensor,right_sensor,position,left_name,left_total,top_total,right_name,liquid,veggie,meat,right_total
2020_03_13-water_spinach_spicy_soup-1.jpg,87,61,62,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,0,0,54
2020_03_13-water_spinach_spicy_soup-2.jpg,87,61,62,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,0,0,54
2020_03_13-water_spinach_spicy_soup-3.jpg,87,61,62,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,0,0,54
2020_03_13-water_spinach_spicy_soup-4.jpg,88,60,68,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,0,6,60
2020_03_13-water_spinach_spicy_soup-5.jpg,87,61,69,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,0,6,60
2020_03_13-water_spinach_spicy_soup-6.jpg,88,60,69,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,0,6,60
2020_03_13-water_spinach_spicy_soup-7.jpg,89,59,69,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,0,6,60
2020_03_13-water_spinach_spicy_soup-8.jpg,88,59,70,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,0,6,60
2020_03_13-water_spinach_spicy_soup-9.jpg,87,62,68,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,0,6,60
2020_03_13-water_spinach_spicy_soup-10.jpg,88,62,67,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,0,6,60
2020_03_13-water_spinach_spicy_soup-11.jpg,89,61,72,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,6,6,66
2020_03_13-water_spinach_spicy_soup-12.jpg,89,61,74,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,6,6,66
2020_03_13-water_spinach_spicy_soup-13.jpg,89,60,73,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,6,6,66
2020_03_13-water_spinach_spicy_soup-14.jpg,91,59,74,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,6,6,66
2020_03_13-water_spinach_spicy_soup-15.jpg,87,63,74,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,6,6,66
2020_03_13-water_spinach_spicy_soup-16.jpg,89,59,75,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,6,6,66
2020_03_13-water_spinach_spicy_soup-17.jpg,88,62,74,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,6,6,66
2020_03_13-water_spinach_spicy_soup-18.jpg,90,59,75,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,6,6,66
2020_03_13-water_spinach_spicy_soup-19.jpg,88,61,74,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,6,6,66
2020_03_13-water_spinach_spicy_soup-20.jpg,90,59,74,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,6,6,66
2020_03_13-water_spinach_spicy_soup-21.jpg,90,59,77,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,9,6,69
2020_03_13-water_spinach_spicy_soup-22.jpg,90,61,77,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,9,6,69
2020_03_13-water_spinach_spicy_soup-23.jpg,90,63,74,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,9,6,69
2020_03_13-water_spinach_spicy_soup-24.jpg,90,60,78,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,9,6,69
2020_03_13-water_spinach_spicy_soup-25.jpg,90,63,74,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,9,6,69
2020_03_13-water_spinach_spicy_soup-26.jpg,89,59,77,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,9,6,69
2020_03_13-water_spinach_spicy_soup-27.jpg,90,56,79,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,9,6,69
2020_03_13-water_spinach_spicy_soup-28.jpg,89,58,78,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,9,6,69
2020_03_13-water_spinach_spicy_soup-29.jpg,91,55,79,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,9,6,69
2020_03_13-water_spinach_spicy_soup-30.jpg,88,59,77,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,9,6,69
2020_03_13-water_spinach_spicy_soup-31.jpg,90,59,84,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,16,6,76
2020_03_13-water_spinach_spicy_soup-32.jpg,89,61,81,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,16,6,76
2020_03_13-water_spinach_spicy_soup-33.jpg,91,59,82,right,fried_vermicelli_noodles,83,79,water_spinach_spicy_soup,54,16,6,76
