filename,left_sensor,top_sensor,right_sensor,position,left_name,left_liquid,left_veggie,left_meat,left_total,top_total,right_total
2020_02_24-stir_fried_veggie-1.jpg,0,0,2,left,stir_fried_veggie,0,4,0,4,0,0
2020_02_24-stir_fried_veggie-2.jpg,0,2,3,left,stir_fried_veggie,0,4,0,4,0,0
2020_02_24-stir_fried_veggie-3.jpg,0,0,3,left,stir_fried_veggie,0,4,0,4,0,0
2020_02_24-stir_fried_veggie-4.jpg,0,0,4,left,stir_fried_veggie,0,4,0,4,0,0
2020_02_24-stir_fried_veggie-5.jpg,0,2,3,left,stir_fried_veggie,0,4,0,4,0,0
2020_02_24-stir_fried_veggie-6.jpg,0,3,5,left,stir_fried_veggie,0,5,0,5,0,0
2020_02_24-stir_fried_veggie-7.jpg,2,0,3,left,stir_fried_veggie,0,5,0,5,0,0
2020_02_24-stir_fried_veggie-8.jpg,1,0,2,left,stir_fried_veggie,0,5,0,5,0,0
2020_02_24-stir_fried_veggie-9.jpg,0,0,6,left,stir_fried_veggie,0,5,0,5,0,0
2020_02_24-stir_fried_veggie-10.jpg,0,2,5,left,stir_fried_veggie,0,5,0,5,0,0
2020_02_24-stir_fried_veggie-11.jpg,6,2,5,left,stir_fried_veggie,0,14,0,14,0,0
2020_02_24-stir_fried_veggie-12.jpg,7,2,3,left,stir_fried_veggie,0,14,0,14,0,0
2020_02_24-stir_fried_veggie-13.jpg,5,0,8,left,stir_fried_veggie,0,14,0,14,0,0
2020_02_24-stir_fried_veggie-14.jpg,9,0,6,left,stir_fried_veggie,0,14,0,14,0,0
2020_02_24-stir_fried_veggie-15.jpg,7,0,5,left,stir_fried_veggie,0,14,0,14,0,0
2020_02_24-stir_fried_veggie-16.jpg,15,0,5,left,stir_fried_veggie,0,14,8,22,0,0
2020_02_24-stir_fried_veggie-17.jpg,10,0,12,left,stir_fried_veggie,0,14,8,22,0,0
2020_02_24-stir_fried_veggie-18.jpg,13,0,10,left,stir_fried_veggie,0,14,8,22,0,0
2020_02_24-stir_fried_veggie-19.jpg,7,6,9,left,stir_fried_veggie,0,14,8,22,0,0
2020_02_24-stir_fried_veggie-20.jpg,11,2,8,left,stir_fried_veggie,0,14,8,22,0,0
2020_02_24-stir_fried_veggie-21.jpg,6,1,5,left,stir_fried_veggie,0,4,8,12,0,0
2020_02_24-stir_fried_veggie-22.jpg,5,1,7,left,stir_fried_veggie,0,4,8,12,0,0
2020_02_24-stir_fried_veggie-23.jpg,5,0,6,left,stir_fried_veggie,0,4,8,12,0,0
2020_02_24-stir_fried_veggie-24.jpg,3,0,8,left,stir_fried_veggie,0,4,8,12,0,0
2020_02_24-stir_fried_veggie-25.jpg,4,0,7,left,stir_fried_veggie,0,4,8,12,0,0
