filename,left_sensor,top_sensor,right_sensor,position,left_name,liquid,veggie,meat,left_total,top_total,right_total
2020_03_12-winter_melon_soup_chicken-1.jpg,48,223,0,left,winter_melon_soup_chicken,43,0,0,43,234,0
2020_03_12-winter_melon_soup_chicken-2.jpg,48,225,0,left,winter_melon_soup_chicken,43,0,0,43,234,0
2020_03_12-winter_melon_soup_chicken-3.jpg,52,216,0,left,winter_melon_soup_chicken,43,0,0,43,234,0
2020_03_12-winter_melon_soup_chicken-4.jpg,52,217,0,left,winter_melon_soup_chicken,43,0,0,43,234,0
2020_03_12-winter_melon_soup_chicken-5.jpg,52,218,0,left,winter_melon_soup_chicken,43,0,0,43,234,0
2020_03_12-winter_melon_soup_chicken-6.jpg,71,218,3,left,winter_melon_soup_chicken,43,26,0,69,234,0
2020_03_12-winter_melon_soup_chicken-7.jpg,69,221,2,left,winter_melon_soup_chicken,43,26,0,69,234,0
2020_03_12-winter_melon_soup_chicken-8.jpg,70,210,11,left,winter_melon_soup_chicken,43,26,0,69,234,0
2020_03_12-winter_melon_soup_chicken-9.jpg,70,221,1,left,winter_melon_soup_chicken,43,26,0,69,234,0
2020_03_12-winter_melon_soup_chicken-10.jpg,70,214,8,left,winter_melon_soup_chicken,43,26,0,69,234,0
2020_03_12-winter_melon_soup_chicken-11.jpg,69,215,9,left,winter_melon_soup_chicken,43,26,0,69,234,0
2020_03_12-winter_melon_soup_chicken-12.jpg,69,223,2,left,winter_melon_soup_chicken,43,26,0,69,234,0
2020_03_12-winter_melon_soup_chicken-13.jpg,69,220,4,left,winter_melon_soup_chicken,43,26,0,69,234,0
2020_03_12-winter_melon_soup_chicken-14.jpg,73,214,6,left,winter_melon_soup_chicken,43,26,0,69,234,0
2020_03_12-winter_melon_soup_chicken-15.jpg,70,221,3,left,winter_melon_soup_chicken,43,26,0,69,234,0
2020_03_12-winter_melon_soup_chicken-16.jpg,84,218,6,left,winter_melon_soup_chicken,43,42,0,85,234,0
2020_03_12-winter_melon_soup_chicken-17.jpg,81,221,6,left,winter_melon_soup_chicken,43,42,0,85,234,0
2020_03_12-winter_melon_soup_chicken-18.jpg,86,221,1,left,winter_melon_soup_chicken,43,42,0,85,234,0
2020_03_12-winter_melon_soup_chicken-19.jpg,82,219,8,left,winter_melon_soup_chicken,43,42,0,85,234,0
2020_03_12-winter_melon_soup_chicken-20.jpg,83,222,3,left,winter_melon_soup_chicken,43,42,0,85,234,0
2020_03_12-winter_melon_soup_chicken-21.jpg,85,217,7,left,winter_melon_soup_chicken,43,42,0,85,234,0
2020_03_12-winter_melon_soup_chicken-22.jpg,83,216,10,left,winter_melon_soup_chicken,43,42,0,85,234,0
2020_03_12-winter_melon_soup_chicken-23.jpg,82,222,4,left,winter_melon_soup_chicken,43,42,0,85,234,0
2020_03_12-winter_melon_soup_chicken-24.jpg,86,218,3,left,winter_melon_soup_chicken,43,42,0,85,234,0
2020_03_12-winter_melon_soup_chicken-25.jpg,81,219,8,left,winter_melon_soup_chicken,43,42,0,85,234,0
2020_03_12-winter_melon_soup_chicken-26.jpg,97,215,14,left,winter_melon_soup_chicken,43,61,0,104,234,0
2020_03_12-winter_melon_soup_chicken-27.jpg,98,223,9,left,winter_melon_soup_chicken,43,61,0,104,234,0
2020_03_12-winter_melon_soup_chicken-28.jpg,102,217,8,left,winter_melon_soup_chicken,43,61,0,104,234,0
2020_03_12-winter_melon_soup_chicken-29.jpg,106,211,11,left,winter_melon_soup_chicken,43,61,0,104,234,0
2020_03_12-winter_melon_soup_chicken-30.jpg,97,225,6,left,winter_melon_soup_chicken,43,61,0,104,234,0
2020_03_12-winter_melon_soup_chicken-31.jpg,99,216,14,left,winter_melon_soup_chicken,43,61,0,104,234,0
2020_03_12-winter_melon_soup_chicken-32.jpg,103,207,18,left,winter_melon_soup_chicken,43,61,0,104,234,0
2020_03_12-winter_melon_soup_chicken-33.jpg,97,224,4,left,winter_melon_soup_chicken,43,61,0,104,234,0
2020_03_12-winter_melon_soup_chicken-34.jpg,100,213,12,left,winter_melon_soup_chicken,43,61,0,104,234,0
2020_03_12-winter_melon_soup_chicken-35.jpg,99,206,21,left,winter_melon_soup_chicken,43,61,0,104,234,0
2020_03_12-winter_melon_soup_chicken-36.jpg,120,208,22,left,winter_melon_soup_chicken,43,86,0,129,234,0
2020_03_12-winter_melon_soup_chicken-37.jpg,121,211,19,left,winter_melon_soup_chicken,43,86,0,129,234,0
2020_03_12-winter_melon_soup_chicken-38.jpg,116,220,18,left,winter_melon_soup_chicken,43,86,0,129,234,0
