filename,left_sensor,top_sensor,right_sensor,position,left_total,top_total,right_name,liquid,veggie,meat,right_total
2020_03_10-cucumber_soup-1.jpg,4,128,5,right,0,134,cucumber_soup,0,0,5,5
2020_03_10-cucumber_soup-2.jpg,2,123,12,right,0,134,cucumber_soup,0,0,5,5
2020_03_10-cucumber_soup-3.jpg,3,127,8,right,0,134,cucumber_soup,0,0,5,5
2020_03_10-cucumber_soup-4.jpg,0,127,9,right,0,134,cucumber_soup,0,0,5,5
2020_03_10-cucumber_soup-5.jpg,4,125,7,right,0,134,cucumber_soup,0,0,5,5
2020_03_10-cucumber_soup-6.jpg,3,125,6,right,0,134,cucumber_soup,0,0,5,5
2020_03_10-cucumber_soup-7.jpg,4,125,6,right,0,134,cucumber_soup,0,0,5,5
2020_03_10-cucumber_soup-8.jpg,2,124,7,right,0,134,cucumber_soup,0,0,5,5
2020_03_10-cucumber_soup-9.jpg,4,123,7,right,0,134,cucumber_soup,0,0,5,5
2020_03_10-cucumber_soup-10.jpg,4,125,7,right,0,134,cucumber_soup,0,0,5,5
2020_03_10-cucumber_soup-11.jpg,3,124,13,right,0,134,cucumber_soup,0,7,5,12
2020_03_10-cucumber_soup-12.jpg,4,127,11,right,0,134,cucumber_soup,0,7,5,12
2020_03_10-cucumber_soup-13.jpg,3,122,15,right,0,134,cucumber_soup,0,7,5,12
2020_03_10-cucumber_soup-14.jpg,5,123,14,right,0,134,cucumber_soup,0,7,5,12
2020_03_10-cucumber_soup-15.jpg,2,123,14,right,0,134,cucumber_soup,0,7,5,12
2020_03_10-cucumber_soup-16.jpg,4,122,16,right,0,134,cucumber_soup,0,7,5,12
2020_03_10-cucumber_soup-17.jpg,3,122,15,right,0,134,cucumber_soup,0,7,5,12
2020_03_10-cucumber_soup-18.jpg,4,117,17,right,0,134,cucumber_soup,0,7,5,12
2020_03_10-cucumber_soup-19.jpg,4,123,13,right,0,134,cucumber_soup,0,7,5,12
2020_03_10-cucumber_soup-20.jpg,3,122,15,right,0,134,cucumber_soup,0,7,5,12
2020_03_10-cucumber_soup-21.jpg,5,120,17,right,0,134,cucumber_soup,0,9,5,14
2020_03_10-cucumber_soup-22.jpg,2,126,16,right,0,134,cucumber_soup,0,9,5,14
2020_03_10-cucumber_soup-23.jpg,3,122,19,right,0,134,cucumber_soup,0,9,5,14
2020_03_10-cucumber_soup-24.jpg,4,121,17,right,0,134,cucumber_soup,0,9,5,14
2020_03_10-cucumber_soup-25.jpg,3,125,16,right,0,134,cucumber_soup,0,9,5,14
2020_03_10-cucumber_soup-26.jpg,5,120,18,right,0,134,cucumber_soup,0,9,5,14
2020_03_10-cucumber_soup-27.jpg,3,124,17,right,0,134,cucumber_soup,0,9,5,14
2020_03_10-cucumber_soup-28.jpg,3,125,17,right,0,134,cucumber_soup,0,9,5,14
2020_03_10-cucumber_soup-29.jpg,1,125,18,right,0,134,cucumber_soup,0,9,5,14
2020_03_10-cucumber_soup-30.jpg,3,123,17,right,0,134,cucumber_soup,0,9,5,14
2020_03_10-cucumber_soup-31.jpg,6,122,31,right,0,134,cucumber_soup,14,9,5,28
2020_03_10-cucumber_soup-32.jpg,4,124,33,right,0,134,cucumber_soup,14,9,5,28
2020_03_10-cucumber_soup-33.jpg,5,123,31,right,0,134,cucumber_soup,14,9,5,28
2020_03_10-cucumber_soup-34.jpg,4,125,32,right,0,134,cucumber_soup,14,9,5,28
2020_03_10-cucumber_soup-35.jpg,9,118,31,right,0,134,cucumber_soup,14,9,5,28
2020_03_10-cucumber_soup-36.jpg,5,120,33,right,0,134,cucumber_soup,14,9,5,28
2020_03_10-cucumber_soup-37.jpg,6,118,35,right,0,134,cucumber_soup,14,9,5,28
2020_03_10-cucumber_soup-38.jpg,7,120,31,right,0,134,cucumber_soup,14,9,5,28
2020_03_10-cucumber_soup-39.jpg,6,120,33,right,0,134,cucumber_soup,14,9,5,28
2020_03_10-cucumber_soup-40.jpg,5,123,32,right,0,134,cucumber_soup,14,9,5,28
2020_03_10-cucumber_soup-41.jpg,9,121,46,right,0,134,cucumber_soup,14,25,5,44
2020_03_10-cucumber_soup-42.jpg,10,115,53,right,0,134,cucumber_soup,14,25,5,44
2020_03_10-cucumber_soup-43.jpg,7,125,46,right,0,134,cucumber_soup,14,25,5,44
2020_03_10-cucumber_soup-44.jpg,13,116,49,right,0,134,cucumber_soup,14,25,5,44
2020_03_10-cucumber_soup-45.jpg,6,123,46,right,0,134,cucumber_soup,14,25,5,44
2020_03_10-cucumber_soup-46.jpg,10,117,51,right,0,134,cucumber_soup,14,25,5,44
2020_03_10-cucumber_soup-47.jpg,9,117,50,right,0,134,cucumber_soup,14,25,5,44
2020_03_10-cucumber_soup-48.jpg,8,120,48,right,0,134,cucumber_soup,14,25,5,44
2020_03_10-cucumber_soup-49.jpg,10,124,41,right,0,134,cucumber_soup,14,25,5,44
2020_03_10-cucumber_soup-50.jpg,9,117,51,right,0,134,cucumber_soup,14,25,5,44
2020_03_10-cucumber_soup-51.jpg,10,118,52,right,0,134,cucumber_soup,14,28,5,47
2020_03_10-cucumber_soup-52.jpg,10,118,52,right,0,134,cucumber_soup,14,28,5,47
2020_03_10-cucumber_soup-53.jpg,7,125,49,right,0,134,cucumber_soup,14,28,5,47
2020_03_10-cucumber_soup-54.jpg,11,115,54,right,0,134,cucumber_soup,14,28,5,47
2020_03_10-cucumber_soup-55.jpg,8,125,47,right,0,134,cucumber_soup,14,28,5,47
2020_03_10-cucumber_soup-56.jpg,10,116,53,right,0,134,cucumber_soup,14,28,5,47
2020_03_10-cucumber_soup-57.jpg,8,123,47,right,0,134,cucumber_soup,14,28,5,47
