filename,left_sensor,top_sensor,right_sensor,position,left_name,left_total,top_total,right_name,right_liquid,right_veggie,right_meat,right_total
2020_02_25-cucumber_soup-1.jpg,78,0,2,right,chicken_coconut_soup,83,0,cucumber_soup,0,11,0,11
2020_02_25-cucumber_soup-2.jpg,78,0,6,right,chicken_coconut_soup,83,0,cucumber_soup,0,11,0,11
2020_02_25-cucumber_soup-3.jpg,77,0,3,right,chicken_coconut_soup,83,0,cucumber_soup,0,11,0,11
2020_02_25-cucumber_soup-4.jpg,78,0,3,right,chicken_coconut_soup,83,0,cucumber_soup,0,11,0,11
2020_02_25-cucumber_soup-5.jpg,79,0,5,right,chicken_coconut_soup,83,0,cucumber_soup,0,11,0,11
2020_02_25-cucumber_soup-6.jpg,80,0,11,right,chicken_coconut_soup,83,0,cucumber_soup,0,23,0,23
2020_02_25-cucumber_soup-7.jpg,80,3,7,right,chicken_coconut_soup,83,0,cucumber_soup,0,23,0,23
2020_02_25-cucumber_soup-8.jpg,78,2,11,right,chicken_coconut_soup,83,0,cucumber_soup,0,23,0,23
2020_02_25-cucumber_soup-9.jpg,80,1,9,right,chicken_coconut_soup,83,0,cucumber_soup,0,23,0,23
2020_02_25-cucumber_soup-10.jpg,79,0,16,right,chicken_coconut_soup,83,0,cucumber_soup,0,23,0,23
2020_02_25-cucumber_soup-11.jpg,82,0,19,right,chicken_coconut_soup,83,0,cucumber_soup,0,29,0,29
2020_02_25-cucumber_soup-12.jpg,82,0,20,right,chicken_coconut_soup,83,0,cucumber_soup,0,29,0,29
2020_02_25-cucumber_soup-13.jpg,82,0,17,right,chicken_coconut_soup,83,0,cucumber_soup,0,29,0,29
2020_02_25-cucumber_soup-14.jpg,83,0,15,right,chicken_coconut_soup,83,0,cucumber_soup,0,29,0,29
2020_02_25-cucumber_soup-15.jpg,80,1,18,right,chicken_coconut_soup,83,0,cucumber_soup,0,29,0,29
2020_02_25-cucumber_soup-16.jpg,77,6,13,right,chicken_coconut_soup,83,0,cucumber_soup,0,29,0,29
2020_02_25-cucumber_soup-17.jpg,78,5,14,right,chicken_coconut_soup,83,0,cucumber_soup,0,30,0,30
2020_02_25-cucumber_soup-18.jpg,84,0,15,right,chicken_coconut_soup,83,0,cucumber_soup,0,30,0,30
2020_02_25-cucumber_soup-19.jpg,88,0,15,right,chicken_coconut_soup,83,0,cucumber_soup,0,30,0,30
