filename,left_sensor,top_sensor,right_sensor,position,left_name,total,left_total,top_name,top_total,right_name,right_total
2020_03_19-spicy_minced_pork-1.jpg,22,82,134,left,spicy_minced_pork,0,0,fried_noodles,82,choy_sum_spicy_soup_pork,149
2020_03_19-spicy_minced_pork-2.jpg,22,82,134,left,spicy_minced_pork,0,0,fried_noodles,82,choy_sum_spicy_soup_pork,149
2020_03_19-spicy_minced_pork-3.jpg,22,82,134,left,spicy_minced_pork,0,0,fried_noodles,82,choy_sum_spicy_soup_pork,149
2020_03_19-spicy_minced_pork-4.jpg,22,81,134,left,spicy_minced_pork,0,0,fried_noodles,82,choy_sum_spicy_soup_pork,149
2020_03_19-spicy_minced_pork-5.jpg,23,80,134,left,spicy_minced_pork,0,0,fried_noodles,82,choy_sum_spicy_soup_pork,149
2020_03_19-spicy_minced_pork-6.jpg,22,81,134,left,spicy_minced_pork,0,0,fried_noodles,82,choy_sum_spicy_soup_pork,149
2020_03_19-spicy_minced_pork-7.jpg,22,82,134,left,spicy_minced_pork,0,0,fried_noodles,82,choy_sum_spicy_soup_pork,149
2020_03_19-spicy_minced_pork-8.jpg,22,82,134,left,spicy_minced_pork,0,0,fried_noodles,82,choy_sum_spicy_soup_pork,149
2020_03_19-spicy_minced_pork-9.jpg,22,82,134,left,spicy_minced_pork,0,0,fried_noodles,82,choy_sum_spicy_soup_pork,149
2020_03_19-spicy_minced_pork-10.jpg,25,80,132,left,spicy_minced_pork,0,0,fried_noodles,82,choy_sum_spicy_soup_pork,149
2020_03_19-spicy_minced_pork-11.jpg,26,78,137,left,spicy_minced_pork,8,8,fried_noodles,82,choy_sum_spicy_soup_pork,149
2020_03_19-spicy_minced_pork-12.jpg,26,79,139,left,spicy_minced_pork,8,8,fried_noodles,82,choy_sum_spicy_soup_pork,149
2020_03_19-spicy_minced_pork-13.jpg,27,82,135,left,spicy_minced_pork,8,8,fried_noodles,82,choy_sum_spicy_soup_pork,149
2020_03_19-spicy_minced_pork-14.jpg,27,79,139,left,spicy_minced_pork,8,8,fried_noodles,82,choy_sum_spicy_soup_pork,149
2020_03_19-spicy_minced_pork-15.jpg,27,80,137,left,spicy_minced_pork,8,8,fried_noodles,82,choy_sum_spicy_soup_pork,149
