filename,left_sensor,top_sensor,right_sensor,position,left_name,left_liquid,left_veggie,left_meat,left_total,top_name,top_total,right_name,right_total
2020_02_19-choy_sum_spicy_soup_pork-105.jpg,52,90,87,left,choy_sum_spicy_soup_pork,0,6,0,6,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-106.jpg,52,89,86,left,choy_sum_spicy_soup_pork,0,6,0,6,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-107.jpg,51,88,87,left,choy_sum_spicy_soup_pork,0,6,0,6,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-108.jpg,52,87,88,left,choy_sum_spicy_soup_pork,0,6,0,6,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-109.jpg,54,88,87,left,choy_sum_spicy_soup_pork,0,6,0,6,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-110.jpg,53,87,87,left,choy_sum_spicy_soup_pork,0,6,0,6,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-111.jpg,53,86,86,left,choy_sum_spicy_soup_pork,0,6,0,6,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-112.jpg,53,86,87,left,choy_sum_spicy_soup_pork,0,6,0,6,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-113.jpg,55,87,85,left,choy_sum_spicy_soup_pork,0,6,0,6,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-114.jpg,55,85,87,left,choy_sum_spicy_soup_pork,0,6,0,6,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-115.jpg,53,89,86,left,choy_sum_spicy_soup_pork,0,6,0,6,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-116.jpg,58,86,85,left,choy_sum_spicy_soup_pork,0,10,0,10,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-117.jpg,57,87,85,left,choy_sum_spicy_soup_pork,0,10,0,10,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-118.jpg,57,83,87,left,choy_sum_spicy_soup_pork,0,10,0,10,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-119.jpg,55,87,87,left,choy_sum_spicy_soup_pork,0,10,0,10,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-120.jpg,56,84,85,left,choy_sum_spicy_soup_pork,0,10,0,10,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-121.jpg,56,89,87,left,choy_sum_spicy_soup_pork,0,10,0,10,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-122.jpg,56,88,86,left,choy_sum_spicy_soup_pork,0,10,0,10,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-123.jpg,57,89,85,left,choy_sum_spicy_soup_pork,0,10,0,10,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-124.jpg,56,87,87,left,choy_sum_spicy_soup_pork,0,10,0,10,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-125.jpg,57,89,85,left,choy_sum_spicy_soup_pork,0,10,0,10,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-126.jpg,60,86,84,left,choy_sum_spicy_soup_pork,0,14,0,14,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-127.jpg,64,87,84,left,choy_sum_spicy_soup_pork,0,14,0,14,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-128.jpg,63,85,85,left,choy_sum_spicy_soup_pork,0,14,0,14,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-129.jpg,60,85,88,left,choy_sum_spicy_soup_pork,0,14,0,14,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-130.jpg,60,86,89,left,choy_sum_spicy_soup_pork,0,14,0,14,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-131.jpg,60,87,86,left,choy_sum_spicy_soup_pork,0,14,0,14,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-132.jpg,62,85,85,left,choy_sum_spicy_soup_pork,0,14,0,14,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-133.jpg,62,83,88,left,choy_sum_spicy_soup_pork,0,14,0,14,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-134.jpg,60,87,87,left,choy_sum_spicy_soup_pork,0,14,0,14,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-135.jpg,59,89,86,left,choy_sum_spicy_soup_pork,0,14,0,14,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-136.jpg,66,85,87,left,choy_sum_spicy_soup_pork,0,14,6,20,rice,106,spicy_minced_pork,133
2020_02_19-choy_sum_spicy_soup_pork-137.jpg,65,85,89,left,choy_sum_spicy_soup_pork,0,14,6,20,rice,106,spicy_minced_pork,133
