filename,left_sensor,top_sensor,right_sensor,position,left_total,top_name,top_total,right_name,right_total
2020_02_19-spicy_minced_pork-101.jpg,1,91,26,right,0,rice,106,spicy_minced_pork,15
2020_02_19-spicy_minced_pork-102.jpg,2,95,22,right,0,rice,106,spicy_minced_pork,15
2020_02_19-spicy_minced_pork-103.jpg,1,95,21,right,0,rice,106,spicy_minced_pork,15
2020_02_19-spicy_minced_pork-104.jpg,0,96,25,right,0,rice,106,spicy_minced_pork,15
2020_02_19-spicy_minced_pork-105.jpg,2,92,23,right,0,rice,106,spicy_minced_pork,15
2020_02_19-spicy_minced_pork-106.jpg,1,95,23,right,0,rice,106,spicy_minced_pork,15
2020_02_19-spicy_minced_pork-107.jpg,2,92,23,right,0,rice,106,spicy_minced_pork,15
2020_02_19-spicy_minced_pork-108.jpg,0,93,24,right,0,rice,106,spicy_minced_pork,15
2020_02_19-spicy_minced_pork-109.jpg,0,94,27,right,0,rice,106,spicy_minced_pork,15
2020_02_19-spicy_minced_pork-110.jpg,0,92,25,right,0,rice,106,spicy_minced_pork,15
2020_02_19-spicy_minced_pork-111.jpg,0,95,32,right,0,rice,106,spicy_minced_pork,24
2020_02_19-spicy_minced_pork-112.jpg,0,99,31,right,0,rice,106,spicy_minced_pork,24
2020_02_19-spicy_minced_pork-113.jpg,0,92,36,right,0,rice,106,spicy_minced_pork,24
2020_02_19-spicy_minced_pork-114.jpg,0,92,34,right,0,rice,106,spicy_minced_pork,24
2020_02_19-spicy_minced_pork-115.jpg,0,93,32,right,0,rice,106,spicy_minced_pork,24
2020_02_19-spicy_minced_pork-116.jpg,2,93,31,right,0,rice,106,spicy_minced_pork,24
2020_02_19-spicy_minced_pork-117.jpg,0,93,34,right,0,rice,106,spicy_minced_pork,24
2020_02_19-spicy_minced_pork-118.jpg,3,91,32,right,0,rice,106,spicy_minced_pork,24
2020_02_19-spicy_minced_pork-119.jpg,0,92,33,right,0,rice,106,spicy_minced_pork,24
2020_02_19-spicy_minced_pork-120.jpg,0,94,38,right,0,rice,106,spicy_minced_pork,24
2020_02_19-spicy_minced_pork-121.jpg,0,94,41,right,0,rice,106,spicy_minced_pork,34
2020_02_19-spicy_minced_pork-122.jpg,0,95,39,right,0,rice,106,spicy_minced_pork,34
2020_02_19-spicy_minced_pork-123.jpg,2,94,37,right,0,rice,106,spicy_minced_pork,34
2020_02_19-spicy_minced_pork-124.jpg,0,94,42,right,0,rice,106,spicy_minced_pork,34
2020_02_19-spicy_minced_pork-125.jpg,0,94,40,right,0,rice,106,spicy_minced_pork,34
2020_02_19-spicy_minced_pork-126.jpg,0,93,40,right,0,rice,106,spicy_minced_pork,34
2020_02_19-spicy_minced_pork-127.jpg,0,94,42,right,0,rice,106,spicy_minced_pork,34
2020_02_19-spicy_minced_pork-128.jpg,0,96,39,right,0,rice,106,spicy_minced_pork,34
2020_02_19-spicy_minced_pork-129.jpg,4,89,39,right,0,rice,106,spicy_minced_pork,34
2020_02_19-spicy_minced_pork-130.jpg,0,97,41,right,0,rice,106,spicy_minced_pork,34
2020_02_19-spicy_minced_pork-131.jpg,0,94,46,right,0,rice,106,spicy_minced_pork,40
2020_02_19-spicy_minced_pork-132.jpg,0,92,47,right,0,rice,106,spicy_minced_pork,40
2020_02_19-spicy_minced_pork-133.jpg,3,95,42,right,0,rice,106,spicy_minced_pork,40
2020_02_19-spicy_minced_pork-134.jpg,0,95,45,right,0,rice,106,spicy_minced_pork,40
2020_02_19-spicy_minced_pork-135.jpg,4,93,43,right,0,rice,106,spicy_minced_pork,40
2020_02_19-spicy_minced_pork-136.jpg,4,92,44,right,0,rice,106,spicy_minced_pork,40
2020_02_19-spicy_minced_pork-137.jpg,4,94,43,right,0,rice,106,spicy_minced_pork,40
2020_02_19-spicy_minced_pork-138.jpg,6,88,46,right,0,rice,106,spicy_minced_pork,40
2020_02_19-spicy_minced_pork-139.jpg,3,100,38,right,0,rice,106,spicy_minced_pork,40
2020_02_19-spicy_minced_pork-140.jpg,0,99,43,right,0,rice,106,spicy_minced_pork,40
2020_02_19-spicy_minced_pork-141.jpg,2,97,50,right,0,rice,106,spicy_minced_pork,51
2020_02_19-spicy_minced_pork-142.jpg,4,93,53,right,0,rice,106,spicy_minced_pork,51
2020_02_19-spicy_minced_pork-143.jpg,4,92,53,right,0,rice,106,spicy_minced_pork,51
2020_02_19-spicy_minced_pork-144.jpg,4,92,54,right,0,rice,106,spicy_minced_pork,51
2020_02_19-spicy_minced_pork-145.jpg,1,96,52,right,0,rice,106,spicy_minced_pork,51
2020_02_19-spicy_minced_pork-146.jpg,4,95,49,right,0,rice,106,spicy_minced_pork,51
2020_02_19-spicy_minced_pork-147.jpg,3,93,53,right,0,rice,106,spicy_minced_pork,51
2020_02_19-spicy_minced_pork-148.jpg,2,90,54,right,0,rice,106,spicy_minced_pork,51
2020_02_19-spicy_minced_pork-149.jpg,0,100,54,right,0,rice,106,spicy_minced_pork,51
2020_02_19-spicy_minced_pork-150.jpg,0,99,54,right,0,rice,106,spicy_minced_pork,51
2020_02_19-spicy_minced_pork-151.jpg,1,94,64,right,0,rice,106,spicy_minced_pork,61
2020_02_19-spicy_minced_pork-152.jpg,1,96,60,right,0,rice,106,spicy_minced_pork,61
2020_02_19-spicy_minced_pork-153.jpg,6,91,61,right,0,rice,106,spicy_minced_pork,61
2020_02_19-spicy_minced_pork-154.jpg,2,96,59,right,0,rice,106,spicy_minced_pork,61
2020_02_19-spicy_minced_pork-155.jpg,0,96,63,right,0,rice,106,spicy_minced_pork,61
2020_02_19-spicy_minced_pork-156.jpg,0,96,62,right,0,rice,106,spicy_minced_pork,61
2020_02_19-spicy_minced_pork-157.jpg,2,92,63,right,0,rice,106,spicy_minced_pork,61
2020_02_19-spicy_minced_pork-158.jpg,0,95,66,right,0,rice,106,spicy_minced_pork,61
2020_02_19-spicy_minced_pork-159.jpg,0,96,63,right,0,rice,106,spicy_minced_pork,61
2020_02_19-spicy_minced_pork-160.jpg,4,94,61,right,0,rice,106,spicy_minced_pork,61
2020_02_19-spicy_minced_pork-161.jpg,2,96,68,right,0,rice,106,spicy_minced_pork,73
2020_02_19-spicy_minced_pork-162.jpg,4,95,68,right,0,rice,106,spicy_minced_pork,73
2020_02_19-spicy_minced_pork-163.jpg,1,93,73,right,0,rice,106,spicy_minced_pork,73
2020_02_19-spicy_minced_pork-164.jpg,1,91,75,right,0,rice,106,spicy_minced_pork,73
2020_02_19-spicy_minced_pork-165.jpg,3,97,69,right,0,rice,106,spicy_minced_pork,73
2020_02_19-spicy_minced_pork-166.jpg,2,98,68,right,0,rice,106,spicy_minced_pork,73
2020_02_19-spicy_minced_pork-167.jpg,1,93,73,right,0,rice,106,spicy_minced_pork,73
2020_02_19-spicy_minced_pork-168.jpg,0,92,78,right,0,rice,106,spicy_minced_pork,73
2020_02_19-spicy_minced_pork-169.jpg,0,90,78,right,0,rice,106,spicy_minced_pork,73
2020_02_19-spicy_minced_pork-170.jpg,1,95,71,right,0,rice,106,spicy_minced_pork,73
2020_02_19-spicy_minced_pork-171.jpg,25,104,52,right,0,rice,106,spicy_minced_pork,84
