filename,left_sensor,top_sensor,right_sensor,position,left_name,left_total,top_total,right_name,total,right_total
2020_03_11-stir_fried_basil-1.jpg,71,99,0,right,egg_tofu_soup,60,91,stir_fried_basil,9,9
2020_03_11-stir_fried_basil-2.jpg,70,99,0,right,egg_tofu_soup,60,91,stir_fried_basil,9,9
2020_03_11-stir_fried_basil-3.jpg,70,98,0,right,egg_tofu_soup,60,91,stir_fried_basil,9,9
2020_03_11-stir_fried_basil-4.jpg,69,98,0,right,egg_tofu_soup,60,91,stir_fried_basil,9,9
2020_03_11-stir_fried_basil-5.jpg,71,98,0,right,egg_tofu_soup,60,91,stir_fried_basil,9,9
2020_03_11-stir_fried_basil-6.jpg,71,97,0,right,egg_tofu_soup,60,91,stir_fried_basil,9,9
2020_03_11-stir_fried_basil-7.jpg,69,98,0,right,egg_tofu_soup,60,91,stir_fried_basil,9,9
2020_03_11-stir_fried_basil-8.jpg,71,98,0,right,egg_tofu_soup,60,91,stir_fried_basil,9,9
2020_03_11-stir_fried_basil-9.jpg,70,98,0,right,egg_tofu_soup,60,91,stir_fried_basil,9,9
2020_03_11-stir_fried_basil-10.jpg,72,96,0,right,egg_tofu_soup,60,91,stir_fried_basil,9,9
2020_03_11-stir_fried_basil-11.jpg,71,97,0,right,egg_tofu_soup,60,91,stir_fried_basil,6,6
2020_03_11-stir_fried_basil-12.jpg,69,97,0,right,egg_tofu_soup,60,91,stir_fried_basil,6,6
2020_03_11-stir_fried_basil-13.jpg,69,98,0,right,egg_tofu_soup,60,91,stir_fried_basil,6,6
2020_03_11-stir_fried_basil-14.jpg,68,97,0,right,egg_tofu_soup,60,91,stir_fried_basil,6,6
2020_03_11-stir_fried_basil-15.jpg,67,98,0,right,egg_tofu_soup,60,91,stir_fried_basil,6,6
2020_03_11-stir_fried_basil-16.jpg,68,97,0,right,egg_tofu_soup,60,91,stir_fried_basil,6,6
2020_03_11-stir_fried_basil-17.jpg,68,98,0,right,egg_tofu_soup,60,91,stir_fried_basil,6,6
2020_03_11-stir_fried_basil-18.jpg,69,96,0,right,egg_tofu_soup,60,91,stir_fried_basil,6,6
