filename,left_sensor,top_sensor,right_sensor,position,left_name,liquid,veggie,meat,left_total,top_total,right_name,right_total
2020_03_10-hum_chicken-1.jpg,17,123,97,left,hum_chicken,0,8,0,8,134,cucumber_soup,92
2020_03_10-hum_chicken-2.jpg,15,126,99,left,hum_chicken,0,8,0,8,134,cucumber_soup,92
2020_03_10-hum_chicken-3.jpg,16,124,99,left,hum_chicken,0,8,0,8,134,cucumber_soup,92
2020_03_10-hum_chicken-4.jpg,16,125,97,left,hum_chicken,0,8,0,8,134,cucumber_soup,92
2020_03_10-hum_chicken-5.jpg,17,121,96,left,hum_chicken,0,8,0,8,134,cucumber_soup,92
2020_03_10-hum_chicken-6.jpg,16,121,98,left,hum_chicken,0,8,0,8,134,cucumber_soup,92
2020_03_10-hum_chicken-7.jpg,17,121,97,left,hum_chicken,0,8,0,8,134,cucumber_soup,92
2020_03_10-hum_chicken-8.jpg,21,117,96,left,hum_chicken,0,8,0,8,134,cucumber_soup,92
2020_03_10-hum_chicken-9.jpg,20,120,92,left,hum_chicken,0,8,0,8,134,cucumber_soup,92
2020_03_10-hum_chicken-10.jpg,21,118,94,left,hum_chicken,0,8,0,8,134,cucumber_soup,92
2020_03_10-hum_chicken-11.jpg,23,120,95,left,hum_chicken,0,8,4,12,134,cucumber_soup,92
2020_03_10-hum_chicken-12.jpg,24,119,94,left,hum_chicken,0,8,4,12,134,cucumber_soup,92
2020_03_10-hum_chicken-13.jpg,23,119,96,left,hum_chicken,0,8,4,12,134,cucumber_soup,92
2020_03_10-hum_chicken-14.jpg,23,119,94,left,hum_chicken,0,8,4,12,134,cucumber_soup,92
2020_03_10-hum_chicken-15.jpg,18,119,102,left,hum_chicken,0,8,4,12,134,cucumber_soup,92
2020_03_10-hum_chicken-16.jpg,20,117,101,left,hum_chicken,0,8,4,12,134,cucumber_soup,92
2020_03_10-hum_chicken-17.jpg,18,119,100,left,hum_chicken,0,8,4,12,134,cucumber_soup,92
2020_03_10-hum_chicken-18.jpg,20,119,101,left,hum_chicken,0,8,4,12,134,cucumber_soup,92
2020_03_10-hum_chicken-19.jpg,19,119,101,left,hum_chicken,0,8,4,12,134,cucumber_soup,92
2020_03_10-hum_chicken-20.jpg,20,119,98,left,hum_chicken,0,8,4,12,134,cucumber_soup,92
2020_03_10-hum_chicken-21.jpg,24,120,99,left,hum_chicken,5,8,4,17,134,cucumber_soup,92
2020_03_10-hum_chicken-22.jpg,24,117,101,left,hum_chicken,5,8,4,17,134,cucumber_soup,92
2020_03_10-hum_chicken-23.jpg,24,120,98,left,hum_chicken,5,8,4,17,134,cucumber_soup,92
2020_03_10-hum_chicken-24.jpg,22,119,101,left,hum_chicken,5,8,4,17,134,cucumber_soup,92
2020_03_10-hum_chicken-25.jpg,24,117,101,left,hum_chicken,5,8,4,17,134,cucumber_soup,92
2020_03_10-hum_chicken-26.jpg,24,119,99,left,hum_chicken,5,8,4,17,134,cucumber_soup,92
2020_03_10-hum_chicken-27.jpg,23,118,102,left,hum_chicken,5,8,4,17,134,cucumber_soup,92
2020_03_10-hum_chicken-28.jpg,23,121,100,left,hum_chicken,5,8,4,17,134,cucumber_soup,92
2020_03_10-hum_chicken-29.jpg,22,118,102,left,hum_chicken,5,8,4,17,134,cucumber_soup,92
2020_03_10-hum_chicken-30.jpg,21,120,101,left,hum_chicken,5,8,4,17,134,cucumber_soup,92
2020_03_10-hum_chicken-31.jpg,35,118,108,left,hum_chicken,5,8,23,36,134,cucumber_soup,92
2020_03_10-hum_chicken-32.jpg,39,117,106,left,hum_chicken,5,8,23,36,134,cucumber_soup,92
